2019-03-02 18:50:17,585 - netlog - INFO - ================================================
2019-03-02 18:50:17,585 - netlog - INFO - Learning Rate: 0.0001
2019-03-02 18:50:17,585 - netlog - INFO - Nbr of Epochs: 20
2019-03-02 18:50:17,585 - netlog - INFO - Batch Size: 4
2019-03-02 18:50:17,585 - netlog - INFO - Window Size: 12
2019-03-02 18:50:17,585 - netlog - INFO - Hidden Layer Dimension: 64
2019-03-02 18:50:32,856 - netlog - INFO - epochs:0, train loss:2.37368559837, train acc:0.0
2019-03-02 18:55:56,379 - netlog - INFO - epochs:0, train loss:2.43462777138, train acc:0.0
2019-03-02 19:01:16,632 - netlog - INFO - epochs:0, train loss:2.32356762886, train acc:0.0
2019-03-02 19:09:49,447 - netlog - INFO - ==> val loss:0.0, val acc:2.2282166481
2019-03-02 19:09:52,622 - netlog - INFO - epochs:1, train loss:2.45437407494, train acc:0.0
2019-03-02 19:15:16,004 - netlog - INFO - epochs:1, train loss:2.40981197357, train acc:25.0
2019-03-02 19:20:30,469 - netlog - INFO - epochs:1, train loss:2.41628408432, train acc:0.0
2019-03-02 19:29:05,359 - netlog - INFO - ==> val loss:0.0, val acc:2.3330180645
2019-03-02 19:29:08,454 - netlog - INFO - epochs:2, train loss:2.46880221367, train acc:0.0
2019-03-02 19:34:28,655 - netlog - INFO - epochs:2, train loss:2.34165120125, train acc:25.0
2019-03-02 19:39:53,917 - netlog - INFO - epochs:2, train loss:2.40935921669, train acc:0.0
2019-03-02 19:48:33,721 - netlog - INFO - ==> val loss:0.0, val acc:2.54441714287
2019-03-02 19:48:37,045 - netlog - INFO - epochs:3, train loss:2.45191240311, train acc:0.0
2019-03-02 19:54:02,580 - netlog - INFO - epochs:3, train loss:2.3316116333, train acc:25.0
2019-03-02 19:59:25,799 - netlog - INFO - epochs:3, train loss:2.43627786636, train acc:0.0
2019-03-02 20:08:04,158 - netlog - INFO - ==> val loss:0.0, val acc:2.54413700104
2019-03-02 20:08:07,500 - netlog - INFO - epochs:4, train loss:2.44931507111, train acc:0.0
2019-03-02 20:09:39,604 - netlog - INFO - ================================================
2019-03-02 20:09:39,604 - netlog - INFO - Learning Rate: 0.001
2019-03-02 20:09:39,604 - netlog - INFO - Nbr of Epochs: 20
2019-03-02 20:09:39,604 - netlog - INFO - Batch Size: 4
2019-03-02 20:09:39,604 - netlog - INFO - Window Size: 12
2019-03-02 20:09:39,604 - netlog - INFO - Hidden Layer Dimension: 64
