2019-03-02 20:06:58,543 - netlog - INFO - ================================================
2019-03-02 20:06:58,543 - netlog - INFO - Learning Rate: 0.0001
2019-03-02 20:06:58,543 - netlog - INFO - Nbr of Epochs: 20
2019-03-02 20:06:58,543 - netlog - INFO - Batch Size: 2
2019-03-02 20:06:58,543 - netlog - INFO - Window Size: 12
2019-03-02 20:06:58,543 - netlog - INFO - Hidden Layer Dimension: 64
2019-03-02 20:07:14,038 - netlog - INFO - epochs:0, train loss:2.4824154377, train acc:0.0
2019-03-02 20:11:38,379 - netlog - INFO - epochs:0, train loss:2.39565038681, train acc:0.0
2019-03-02 20:13:19,510 - netlog - INFO - ==> val loss:8.91719745223, val acc:2.79238271713
2019-03-02 20:13:36,466 - netlog - INFO - epochs:1, train loss:2.49027919769, train acc:0.0
2019-03-02 20:15:57,676 - netlog - INFO - epochs:0, train loss:2.47646450996, train acc:0.0
2019-03-02 20:18:49,105 - netlog - INFO - epochs:1, train loss:2.66295623779, train acc:0.0
2019-03-02 20:20:18,997 - netlog - INFO - epochs:0, train loss:2.37233495712, train acc:50.0
2019-03-02 20:24:00,510 - netlog - INFO - epochs:1, train loss:2.12381672859, train acc:50.0
2019-03-02 20:24:41,306 - netlog - INFO - epochs:0, train loss:2.4795358181, train acc:0.0
2019-03-02 20:29:03,427 - netlog - INFO - epochs:0, train loss:2.52610397339, train acc:0.0
2019-03-02 20:29:10,977 - netlog - INFO - epochs:1, train loss:2.25401544571, train acc:0.0
2019-03-02 20:34:27,999 - netlog - INFO - epochs:1, train loss:2.56914973259, train acc:0.0
2019-03-02 20:35:21,299 - netlog - INFO - ==> val loss:14.2250530786, val acc:2.42901945114
2019-03-02 20:35:32,735 - netlog - INFO - epochs:1, train loss:2.41326761246, train acc:0.0
2019-03-02 20:39:53,043 - netlog - INFO - epochs:1, train loss:2.31626462936, train acc:50.0
2019-03-02 20:39:53,541 - netlog - INFO - epochs:1, train loss:2.5802397728, train acc:0.0
2019-03-02 20:44:16,511 - netlog - INFO - epochs:1, train loss:2.48666477203, train acc:0.0
2019-03-02 20:48:09,526 - netlog - INFO - ==> val loss:11.6772823779, val acc:2.7708158493
2019-03-02 20:48:36,242 - netlog - INFO - epochs:2, train loss:2.4947810173, train acc:0.0
2019-03-02 20:48:40,322 - netlog - INFO - epochs:1, train loss:2.37215042114, train acc:50.0
